asset,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,historical_var_95,historical_cvar_95,observations
brazil_equity,0.09918566009121799,0.2314067653913745,0.525136423398414,0.6856077759791753,-0.4693169006552962,-0.02212495072394303,-0.032789430871391065,3239
fx_usdbrl,0.06275491842470315,0.16452303560303144,0.45206821824160703,0.6977653148166374,-0.2680175321120728,-0.015916465747335906,-0.022268484172954895,3239
brazil_external,0.025662239118235952,0.33909071363769927,0.2462382336863202,0.3231073423113096,-0.6654091032652893,-0.03294375804006311,-0.04842867608096061,3239
global_equity,0.13295659793385717,0.1691768982780134,0.8228440025767497,0.9847912725392383,-0.33717266428472736,-0.016041707343699127,-0.025869527544307245,3239
vix,0.01915458329413644,1.3344872530324638,0.6213637293234029,1.2710792786790586,-0.8565727499514695,-0.10524591875011993,-0.14196897804819628,3239
