strategy,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,best_period,worst_period,observations
passive_brazil_equity,0.09987148012931057,0.22236337692142327,0.5459154688588188,-0.3777388172699806,0.21219828748684244,-0.35920579382264195,151
covered_call,0.07974866823742244,0.16798979456760396,0.5519251885801258,-0.36789470005993286,0.10572639763469069,-0.35162954367495824,151
collar,0.05594455684692767,0.10222591434782818,0.584689297543932,-0.21492081316693523,0.041087058525976786,-0.04757626826361771,151
stress_aware_overlay,0.06849659830613919,0.13617090005698707,0.5559413946567237,-0.2300677520444525,0.10576197758677441,-0.14326862034026705,151
