Date,brazil_drawdown_pressure_weighted,brazil_vol_pressure_weighted,external_brazil_pressure_weighted,global_equity_pressure_weighted,fx_pressure_weighted,vix_pressure_weighted,bsti_raw_score,bsti_0_100,bsti_regime,stress_breadth,active_pressure_channels,dominant_pressure_channel,dominant_pressure_value,brazil_drawdown_pressure,brazil_vol_pressure,external_brazil_pressure,global_equity_pressure,fx_pressure,vix_pressure,bsti_state,previous_bsti_state,next_bsti_state,state_changed,warning_threshold,stress_threshold
2014-02-27,0.08587438547612997,0.2009948366811983,0.0,0.0,0.08851986505281861,0.0,0.37538908721014685,12.512969573671562,calm,0.16666666666666666,1,brazil_vol_pressure,1.3399655778746553,0.4293719273806498,1.3399655778746553,0.0,0.0,0.5901324336854574,0.0,normal,warning,warning,True,15.0,33.0
2014-02-28,0.15709806133653426,0.20768309887702316,0.272991508113854,0.0,0.0,0.0,0.6377726683274114,21.259088944247047,fragile,0.5,3,brazil_vol_pressure,1.3845539925134878,0.7854903066826713,1.3845539925134878,1.3649575405692698,0.0,0.0,0.0,warning,normal,stress,True,15.0,33.0
2014-03-03,0.15410686211096075,0.18640547290457432,0.2782227267347527,0.14117158647964137,0.13842843263223426,0.2531410898653531,1.1514761707275165,38.38253902425055,stress,1.0,6,vix_pressure,1.6876072657690206,0.7705343105548037,1.2427031526971621,1.3911136336737633,0.9411439098642759,0.9228562175482284,1.6876072657690206,stress,warning,normal,True,15.0,33.0
2014-03-04,0.15128144209077968,0.010815476889850005,0.0,0.0,0.07466143843980604,0.0,0.23675835742043572,7.8919452473478575,calm,0.16666666666666666,1,brazil_drawdown_pressure,0.7564072104538984,0.7564072104538984,0.0721031792656667,0.0,0.0,0.49774292293204025,0.0,normal,stress,normal,True,15.0,33.0
2014-03-05,0.24815639000059023,0.0038157913006209815,0.0,0.0,0.0,0.0,0.2519721813012112,8.399072710040373,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.240781950002951,1.240781950002951,0.025438608670806544,0.0,0.0,0.0,0.0,normal,normal,normal,False,15.0,33.0
2014-03-06,0.17753351780566415,0.014373764754589933,0.0,0.0,0.0,0.037344171175216274,0.22925145373547035,7.641715124515678,calm,0.16666666666666666,1,brazil_drawdown_pressure,0.8876675890283207,0.8876675890283207,0.0958250983639329,0.0,0.0,0.0,0.2489611411681085,normal,normal,warning,False,15.0,33.0
2014-03-07,0.29755848356299547,0.0,0.36158927142112074,0.004467486764707982,0.032842220927899624,0.0,0.6964574626767239,23.215248755890798,fragile,0.3333333333333333,2,external_brazil_pressure,1.8079463571056036,1.4877924178149773,0.0,1.8079463571056036,0.029783245098053215,0.21894813951933081,0.0,warning,normal,warning,True,15.0,33.0
2014-03-10,0.3933169067045825,0.0,0.23673479676990938,0.02283488020357259,0.15219596312574288,0.006772061413677645,0.8118546082174851,27.06182027391617,fragile,0.5,3,brazil_drawdown_pressure,1.9665845335229126,1.9665845335229126,0.0,1.183673983849547,0.15223253469048395,1.0146397541716192,0.045147076091184304,warning,warning,warning,False,15.0,33.0
2014-03-11,0.34172304199370673,0.0,0.0,0.10787310930952929,0.07463831813033164,0.07400533197476551,0.5982398014083332,19.941326713611108,fragile,0.16666666666666666,1,brazil_drawdown_pressure,1.7086152099685334,1.7086152099685334,0.0,0.0,0.7191540620635286,0.4975887875355443,0.4933688798317701,warning,warning,warning,False,15.0,33.0
2014-03-12,0.2998802636596702,0.0,0.0,0.004828949877562573,0.15277468905899277,0.0,0.4574839025962255,15.249463419874184,fragile,0.3333333333333333,2,brazil_drawdown_pressure,1.4994013182983508,1.4994013182983508,0.0,0.0,0.03219299918375049,1.018497927059952,0.0,warning,warning,warning,False,15.0,33.0
2014-03-13,0.3400348698591935,0.0,0.0,0.226346860739016,0.0,0.22056316536160692,0.7869448959598164,26.23149653199388,fragile,0.5,3,brazil_drawdown_pressure,1.7001743492959676,1.7001743492959676,0.0,0.0,1.5089790715934401,0.0,1.4704211024107128,warning,warning,warning,False,15.0,33.0
