date,passive_brazil_equity,covered_call,collar
2014-05-30,-0.006164274560498173,0.004990390541048582,-0.0006204035747125382
2014-06-30,0.03421366746967647,0.040976039397305396,0.03549598057138615
2014-07-29,0.07680404964552978,0.039050459227560425,0.03493561944759218
2014-08-27,0.0648580779778678,0.03874314109249097,0.034837798369715435
2014-09-25,-0.08216633869195211,-0.07325977388222762,-0.045109865190486216
2014-10-24,-0.0753676870186838,-0.06465468241811269,-0.04457570780161867
2014-11-24,0.07017897907627146,0.053802307372107644,0.037910675796868944
2014-12-23,-0.08341076585058749,-0.05455596693947153,-0.04146040395433311
2015-01-21,-0.031009298227913096,0.0004205906552713981,-0.022186464181436667
2015-02-19,0.04162304552622831,0.05347951495385088,0.0378664752260993
2015-03-20,0.010441776420283544,0.02882124113470215,0.01752402357736347
2015-04-20,0.03815584251364901,0.04422386603331144,0.036280413142534676
2015-05-19,0.0323506617995688,0.04168254447096097,0.03568180971571018
2015-06-17,-0.042462468061724934,-0.03170569957661554,-0.03702615011200892
2015-07-16,-0.002323759359083577,0.007579422032602373,0.002870566751037475
2015-08-14,-0.10520190092168036,-0.0964201505971915,-0.04514977100663442
2015-09-14,0.0,0.00959955578674699,0.005104262829218744
2015-10-13,-0.0036875959777036282,0.010891794002053378,0.0026690581355758615
2015-11-11,-0.0032658725208413175,0.015874648670901593,0.003945176167619741
2015-12-10,-0.03189163659683003,-0.01197698109469619,-0.0245542814092393
2016-01-08,-0.11236461138373843,-0.09355590814914871,-0.04284452385957097
2016-02-08,0.0002541515377332271,0.015295625172355961,0.006707494383557772
2016-03-08,0.21219828748684244,0.0480862149626069,0.037031318295801446
2016-04-06,-0.018448659413837,0.0032585190444854896,-0.010835274840292904
2016-05-05,0.07496800852432495,0.05707151920731213,0.03832990307365316
2016-06-03,-0.024438770359325845,0.001256066841859478,-0.01627946329032213
2016-07-04,0.038900201767191556,0.05208500310631408,0.037668887505591886
2016-08-02,0.06645762234645392,0.04838826994902816,0.03708376491530698
2016-08-31,0.02812497677171999,0.041958619035190124,0.034319768233974916
2016-09-29,0.009476109000625677,0.021635486699736205,0.015278143460189577
2016-10-28,0.10325897849080956,0.0406157531108295,0.03539742606935599
2016-11-28,-0.023117714243720555,-0.012775155202688682,-0.01779683249849634
2016-12-27,-0.06639272312468913,-0.05082048923138329,-0.0434387845873824
2017-01-25,0.12497796695106445,0.04625436770315727,0.036695150412945306
2017-02-23,0.022062272739454603,0.03950297125133549,0.028978790488589996
2017-03-24,-0.05266378816259487,-0.03990522463243643,-0.04405238592642944
2017-04-24,0.006625724633727792,0.01746227406525909,0.01208386385336869
2017-05-23,-0.024883596312071488,-0.014960217540950527,-0.019683356292355333
2017-06-21,-0.03226873304260658,-0.014551027944181259,-0.025302487822644285
2017-07-20,0.06754000175483865,0.045943690389007,0.03663478442766126
2017-08-18,0.059282887979332566,0.04531539933231618,0.036509429749512295
2017-09-18,0.10576197758677441,0.03484015716677391,0.03331394331417997
2017-10-17,0.002857130400988561,0.0070692820823603595,0.00586052679429527
2017-11-15,-0.07122507210973406,-0.06615122067772328,-0.04657626826361771
2017-12-14,0.022494901199562323,0.030866778826181787,0.027211024159471398
2018-01-12,0.09528568812779015,0.04265999070907561,0.03592406791853917
2018-02-12,0.01956436723390409,0.03213418124314721,0.025466757857888767
2018-03-13,0.06818475061922347,0.04224177684477194,0.0358224085831118
2018-04-11,-0.012574886847398936,-0.004531166472918308,-0.007969673359573373
2018-05-10,0.00509406687550884,0.013933370167902682,0.009962749533769246
2018-06-08,-0.15047665991802384,-0.14276862034026705,-0.045511688085370317
2018-07-09,0.029119252527426642,0.041433207941067855,0.034959413518726945
2018-08-07,0.06956523295822747,0.043614068025808264,0.03614568654749558
2018-09-05,-0.06542779500055573,-0.05145757605278234,-0.04377500491938582
2018-10-04,0.10301020813435491,0.04205778762308389,0.03577675500195181
2018-11-02,0.06722587545347292,0.04378409982901023,0.03618377125335031
2018-12-03,0.014545429487032635,0.033410397838401024,0.02171039147754436
2019-01-01,-0.021852230735690092,-0.0043198211604145165,-0.01491917060371551
2019-01-30,0.10543733250389975,0.04534469695005962,0.03651537581073029
2019-02-28,0.0034217248322361282,0.013751338087743037,0.008738939395030187
2019-03-29,-0.021632553905772123,-0.012568997842715405,-0.016692821915060548
2019-04-29,0.009911814468011482,0.0238380967615773,0.01612712115837487
2019-05-28,0.0014020411098629726,0.01413139101106481,0.007342693073153886
2019-06-26,0.04308023764927538,0.04372862390598763,0.036171390367049625
2019-07-25,0.0201342757703582,0.028816004815885345,0.02495221679384476
2019-08-23,-0.0483806301725247,-0.04053451540230117,-0.04384379877704833
