strategy,average_stress_return,median_stress_return,worst_stress_return,best_stress_return,hit_rate_vs_passive_in_stress,downside_protection_rate,observations
passive_brazil_equity,-0.0006718247928057819,-0.0036875959777036282,-0.35920579382264195,0.21219828748684244,,,79
covered_call,0.0016153411130774469,0.009103846613966193,-0.35162954367495824,0.10572639763469069,0.8354430379746836,1.0,79
collar,0.00015540843646299557,0.0016690581355758615,-0.04757626826361771,0.041087058525976786,0.759493670886076,1.0,79
stress_aware_overlay,-0.0022674003798457657,0.0016690581355758615,-0.14326862034026705,0.041087058525976786,0.620253164556962,0.7857142857142857,79
