strategy,avg_active_return,avg_active_when_passive_positive,avg_active_when_passive_negative,hit_rate_vs_passive,missed_upside_rate,downside_protection_rate,best_active_period,worst_active_period,primary_help_zone,primary_hurt_zone,observations
covered_call,-0.0023894840102356334,-0.013160772312403755,0.010782574038763945,0.7483443708609272,0.4578313253012048,1.0,0.07339450797880656,-0.16461207252423554,downside_protection,missed_upside,151
collar,-0.005135100759855935,-0.022301869780004202,0.015993294241386333,0.695364238410596,0.5542168674698795,1.0,0.31282214750929727,-0.176166969191041,downside_protection,missed_upside,151
stress_aware_overlay,-0.0038073805899788596,-0.016087769401365127,0.011287554155183272,0.44370860927152317,0.3855421686746988,0.6417910447761194,0.31282214750929727,-0.176166969191041,downside_protection,missed_upside,151
