Date,returns,realized_volatility,volatility_percentile,drawdown,regime
2015-01-19,-0.027100780297953486,0.24161593704335815,0.6825396825396826,-0.23124169849011122,extreme_stress
2015-01-20,0.004534637837298128,0.23939165673773297,0.6785714285714286,-0.2277556580083474,extreme_stress
2015-01-21,0.027730028005880092,0.2550344231188222,0.6904761904761905,-0.20634130077753654,extreme_stress
2015-01-22,0.006483947912348853,0.25646035590005295,0.6904761904761905,-0.20119525911159553,extreme_stress
2015-01-23,-0.017040725540849455,0.2622940726446861,0.6904761904761905,-0.21480747146180423,extreme_stress
2015-01-26,-0.0023255943366987664,0.25834304509534134,0.6865079365079365,-0.21663351075939075,extreme_stress
2015-01-27,0.0031786719695729992,0.2559510439416639,0.6785714285714286,-0.2141434456581388,extreme_stress
2015-01-28,-0.02133498771182385,0.26304683021548736,0.6904761904761905,-0.23090968558827862,extreme_stress
2015-01-29,0.0010791978218103182,0.26318118835299326,0.6904761904761905,-0.23007968499619003,extreme_stress
2015-01-30,-0.01660199310113908,0.26780717749306426,0.6904761904761905,-0.24286189675431014,extreme_stress
2015-02-02,0.014470507313747216,0.2598153337177133,0.6746031746031746,-0.23190572429377665,extreme_stress
2015-02-03,0.029608794431185137,0.2705428669215343,0.7023809523809523,-0.20916337878062108,extreme_stress
2015-02-04,0.002728821783811508,0.27017146945572285,0.6865079365079365,-0.20700532658120174,extreme_stress
2015-02-05,0.002302713194420436,0.2433380808496428,0.6428571428571429,-0.20517928728361512,extreme_stress
2015-02-06,-0.0121136553491209,0.2450526359452443,0.6468253968253969,-0.214807471461804,extreme_stress
2015-02-09,0.013107800039856787,0.23941913761502112,0.626984126984127,-0.20451532480493584,extreme_stress
2015-02-10,-0.01585973185670364,0.24035664466228013,0.626984126984127,-0.21713149844964652,extreme_stress
2015-02-11,-0.004452906809841339,0.2404538763562686,0.626984126984127,-0.22061753893141034,extreme_stress
2015-02-12,0.025133126432390407,0.2546245828611316,0.6468253968253969,-0.20102922099818588,extreme_stress
2015-02-13,0.026179062820921306,0.2666136273879127,0.6785714285714286,-0.18011291478261704,stress
2015-02-16,0.0,0.2640747528992226,0.6746031746031746,-0.18011291478261704,stress
2015-02-17,0.0,0.24238275137193763,0.6190476190476191,-0.18011291478261704,stress
2015-02-18,0.010528456452515211,0.2436902119252919,0.626984126984127,-0.17148076930992628,stress
2015-02-19,-0.00220397937663519,0.22767248666378068,0.5436507936507936,-0.1733068086075128,stress
2015-02-20,0.000803231247794356,0.22712557350769697,0.5357142857142857,-0.17264278280384748,stress
2015-02-23,-0.0008025865851700731,0.2169157782707713,0.49603174603174605,-0.1733068086075128,stress
2015-02-24,0.012249008427646979,0.2186617530966673,0.5,-0.1631806367390679,stress
2015-02-25,-0.0009918515614341095,0.2191527422551412,0.5,-0.1640106373311565,stress
2015-02-26,-0.0009928363076761038,0.20124281245414208,0.4126984126984127,-0.16484063792324521,stress
2015-02-27,-0.0059630897151412565,0.20399407825944635,0.43253968253968256,-0.16982076812574898,stress
2015-03-02,-0.00839828400403031,0.195524205313997,0.3611111111111111,-0.17679284908927662,stress
2015-03-03,0.004839719252436314,0.19187754384541506,0.29365079365079366,-0.17280875759227066,stress
2015-03-04,-0.015251898621380877,0.1776783215878703,0.21825396825396826,-0.18542499456196748,stress
2015-03-05,-0.002445464288385213,0.17811946882302102,0.2261904761904762,-0.1874170086479774,stress
2015-03-06,-0.008171634722051957,0.1809914124867633,0.23809523809523808,-0.19405714003465846,stress
2015-03-09,-0.016477842422907174,0.18546761998285555,0.25793650793650796,-0.20733733948303446,extreme_stress
2015-03-10,-0.016753910723781074,0.18874083689457616,0.2976190476190476,-0.22061753893141045,extreme_stress
2015-03-11,0.012140568382570827,0.18568814715291934,0.2619047619047619,-0.21115539286663088,extreme_stress
2015-03-12,-0.0014730575368245846,0.18498702513405435,0.25793650793650796,-0.21231740636055207,extreme_stress
2015-03-13,-0.00505799103493898,0.16269411797339461,0.0992063492063492,-0.21630149785755792,extreme_stress
2015-03-16,0.0036009740931872702,0.131138341094817,0.003968253968253968,-0.21347941985447338,extreme_stress
2015-03-17,0.032503103970304315,0.17738915994038515,0.2261904761904762,-0.1879150596632192,stress
2015-03-18,0.024121021041346946,0.1966967306115652,0.3968253968253968,-0.16832674172999462,stress
2015-03-19,-0.010978029018197444,0.1973365605507595,0.4007936507936508,-0.1774568748929416,stress
2015-03-20,0.015539868206249308,0.2045869500642016,0.4523809523809524,-0.1646746631348215,stress
2015-03-23,0.0021860216816114164,0.2046625959343223,0.45634920634920634,-0.16284862383723475,stress
2015-03-24,-0.007733479819321154,0.20667615796154157,0.4642857142857143,-0.1693227171105065,stress
2015-03-25,0.004996003106035651,0.20288908341344192,0.44047619047619047,-0.16517265082507737,stress
2015-03-26,-0.023463914967069455,0.2185521321323601,0.5079365079365079,-0.18476096875830172,stress
2015-03-27,-0.009163118659065939,0.2203240733238936,0.5158730158730159,-0.1922311007370714,stress
2015-03-30,0.02383887897759207,0.23631619595136755,0.5912698412698413,-0.17297479570567975,stress
2015-03-31,-0.006423117157454805,0.2355375556889394,0.5873015873015873,-0.17828687548503008,stress
2015-04-01,0.026262610849707935,0.2521674008750225,0.6349206349206349,-0.15670654346579582,stress
2015-04-02,0.013779542784496224,0.248565509024919,0.6309523809523809,-0.1450863452015969,stress
2015-04-03,0.0,0.24810626260321514,0.626984126984127,-0.1450863452015969,stress
2015-04-06,0.011650455808176474,0.24682517345364735,0.623015873015873,-0.13512621144656156,stress
2015-04-07,0.0019194297840148256,0.23607452051377173,0.5714285714285714,-0.13346614693739844,stress
2015-04-08,0.0003831505262710255,0.22391650523006618,0.5119047619047619,-0.13313413403556595,stress
2015-04-09,0.0009574729201791143,0.2228805233966948,0.5119047619047619,-0.13230413344347747,stress
2015-04-10,0.007269964889751401,0.22191461778244273,0.5119047619047619,-0.1259960149586291,stress
2015-04-13,-0.0007597514599820832,0.21993686888268285,0.503968253968254,-0.12666004076229442,stress
2015-04-14,-0.0015206582422838677,0.221136357455482,0.5119047619047619,-0.12798809236962516,stress
2015-04-15,0.013706477011891538,0.20030416182424474,0.4126984126984127,-0.11603588120359376,stress
2015-04-16,-0.004131478323063376,0.18831322494565741,0.3055555555555556,-0.1196879597987669,stress
2015-04-17,-0.010937168201177738,0.1882756683859498,0.3055555555555556,-0.12931608065196976,stress
2015-04-20,-0.004003795641906671,0.1837019613951954,0.26587301587301587,-0.13280212113373357,stress
2015-04-21,0.0,0.1838073680592998,0.2698412698412698,-0.13280212113373357,stress
2015-04-22,0.015122455502441401,0.18599741347414606,0.2857142857142857,-0.1196879597987669,stress
2015-04-23,0.01904586384084128,0.1942416210189523,0.3492063492063492,-0.10292165654364116,stress
2015-04-24,0.017394496868686993,0.1731998363904481,0.1746031746031746,-0.08731743010742254,neutral
2015-04-27,-0.01855220928076029,0.18577654598032747,0.2777777777777778,-0.10424970815097168,stress
2015-04-28,0.004447770247199001,0.1726830538704194,0.17063492063492064,-0.10026561665396572,stress
2015-04-29,-0.00959410425173346,0.17543982065317879,0.1984126984126984,-0.1088977621266567,stress
2015-04-30,0.017511151664772795,0.16362177603425387,0.10714285714285714,-0.09329353569043808,neutral
2015-05-01,0.0,0.15963773681002677,0.07936507936507936,-0.09329353569043808,neutral
2015-05-04,0.02215311100021955,0.17257089020012453,0.17063492063492064,-0.07320716674197181,neutral
2015-05-05,0.010567729151720107,0.1719986106417043,0.1626984126984127,-0.06341307110034566,neutral
2015-05-06,-0.017546931866340376,0.18729888729781508,0.2857142857142857,-0.07984729812865299,neutral
2015-05-07,-0.001984495936242836,0.18788308177978633,0.2896825396825397,-0.08167333742623939,neutral
2015-05-08,0.003253801629948816,0.18776515747176278,0.2857142857142857,-0.07868528463473157,neutral
2015-05-11,0.0003603686083544222,0.1872758773550976,0.27380952380952384,-0.07835327173289897,neutral
