date,bsti_0_100,bsti_regime,dominant_pressure_channel,selected_strategy,selected_return,benchmark_return,active_return,warning_threshold,stress_threshold
2014-05-30,15.023317572040146,fragile,external_brazil_pressure,covered_call,0.004490390541048581,-0.006164274560498173,0.010654665101546754,15.0,33.0
2014-06-30,16.4533962143354,fragile,brazil_drawdown_pressure,covered_call,0.040476039397305395,0.03421366746967647,0.006262371927628928,15.0,33.0
2014-07-29,14.418057869052694,calm,global_equity_pressure,passive_brazil_equity,0.07680404964552978,0.07680404964552978,0.0,15.0,33.0
2014-08-27,7.415279502404902,calm,brazil_vol_pressure,passive_brazil_equity,0.0648580779778678,0.0648580779778678,0.0,15.0,33.0
2014-09-25,54.866910504055376,extreme_stress,global_equity_pressure,collar,-0.04610986519048622,-0.08216633869195211,0.036056473501465895,15.0,33.0
2014-10-24,27.34898993558867,fragile,brazil_vol_pressure,covered_call,-0.06515468241811269,-0.0753676870186838,0.010213004600571104,15.0,33.0
2014-11-24,9.08497843891959,calm,external_brazil_pressure,passive_brazil_equity,0.07017897907627146,0.07017897907627146,0.0,15.0,33.0
2014-12-23,5.824919545257234,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.08341076585058749,-0.08341076585058749,0.0,15.0,33.0
2015-01-21,4.944817050829721,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.031009298227913096,-0.031009298227913096,0.0,15.0,33.0
2015-02-19,4.1087591028000015,calm,external_brazil_pressure,passive_brazil_equity,0.04162304552622831,0.04162304552622831,0.0,15.0,33.0
2015-03-20,8.185485149474049,calm,fx_pressure,passive_brazil_equity,0.010441776420283544,0.010441776420283544,0.0,15.0,33.0
2015-04-20,4.268987978629194,calm,external_brazil_pressure,passive_brazil_equity,0.03815584251364901,0.03815584251364901,0.0,15.0,33.0
2015-05-19,9.585142610833262,calm,external_brazil_pressure,passive_brazil_equity,0.0323506617995688,0.0323506617995688,0.0,15.0,33.0
2015-06-17,4.18126941264685,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.042462468061724934,-0.042462468061724934,0.0,15.0,33.0
2015-07-16,10.60116044334783,calm,external_brazil_pressure,passive_brazil_equity,-0.002323759359083577,-0.002323759359083577,0.0,15.0,33.0
2015-08-14,32.74284695624851,fragile,brazil_drawdown_pressure,covered_call,-0.0969201505971915,-0.10520190092168036,0.008281750324488857,15.0,33.0
2015-09-14,16.595912915584186,fragile,brazil_vol_pressure,covered_call,0.00909955578674699,0.0,0.00909955578674699,15.0,33.0
2015-10-13,25.559182260742787,fragile,external_brazil_pressure,covered_call,0.010391794002053378,-0.0036875959777036282,0.014079389979757006,15.0,33.0
2015-11-11,3.227204828432934,calm,vix_pressure,passive_brazil_equity,-0.0032658725208413175,-0.0032658725208413175,0.0,15.0,33.0
2015-12-10,18.64129295253434,fragile,external_brazil_pressure,covered_call,-0.01247698109469619,-0.03189163659683003,0.01941465550213384,15.0,33.0
2016-01-08,29.02884269537966,fragile,brazil_drawdown_pressure,covered_call,-0.09405590814914871,-0.11236461138373843,0.01830870323458972,15.0,33.0
2016-02-08,28.83259189561116,fragile,brazil_vol_pressure,covered_call,0.01479562517235596,0.0002541515377332271,0.014541473634622734,15.0,33.0
2016-03-08,14.606893537401703,calm,brazil_vol_pressure,passive_brazil_equity,0.21219828748684244,0.21219828748684244,0.0,15.0,33.0
2016-04-06,16.161855989875455,fragile,fx_pressure,covered_call,0.0027585190444854896,-0.018448659413837,0.021207178458322488,15.0,33.0
2016-05-05,6.415017781058492,calm,external_brazil_pressure,passive_brazil_equity,0.07496800852432495,0.07496800852432495,0.0,15.0,33.0
2016-06-03,4.574037482197245,calm,global_equity_pressure,passive_brazil_equity,-0.024438770359325845,-0.024438770359325845,0.0,15.0,33.0
2016-07-04,6.366643724513704,calm,fx_pressure,passive_brazil_equity,0.038900201767191556,0.038900201767191556,0.0,15.0,33.0
2016-08-02,12.770891162720444,calm,global_equity_pressure,passive_brazil_equity,0.06645762234645392,0.06645762234645392,0.0,15.0,33.0
2016-08-31,8.960279628193407,calm,external_brazil_pressure,passive_brazil_equity,0.02812497677171999,0.02812497677171999,0.0,15.0,33.0
2016-09-29,30.806931312891468,fragile,global_equity_pressure,covered_call,0.021135486699736205,0.009476109000625677,0.011659377699110528,15.0,33.0
2016-10-28,15.364400901334749,fragile,fx_pressure,covered_call,0.0401157531108295,0.10325897849080956,-0.06314322537998006,15.0,33.0
2016-11-28,20.009042000993496,fragile,brazil_vol_pressure,covered_call,-0.013275155202688682,-0.023117714243720555,0.009842559041031873,15.0,33.0
2016-12-27,13.716698372321792,calm,brazil_drawdown_pressure,passive_brazil_equity,-0.06639272312468913,-0.06639272312468913,0.0,15.0,33.0
2017-01-25,0.8082493978595731,calm,fx_pressure,passive_brazil_equity,0.12497796695106445,0.12497796695106445,0.0,15.0,33.0
2017-02-23,8.352589664645473,calm,external_brazil_pressure,passive_brazil_equity,0.022062272739454603,0.022062272739454603,0.0,15.0,33.0
2017-03-24,26.606659414504243,fragile,fx_pressure,covered_call,-0.04040522463243643,-0.05266378816259487,0.012258563530158438,15.0,33.0
2017-04-24,5.377021630931902,calm,brazil_drawdown_pressure,passive_brazil_equity,0.006625724633727792,0.006625724633727792,0.0,15.0,33.0
2017-05-23,25.757821943185416,fragile,brazil_vol_pressure,covered_call,-0.015460217540950527,-0.024883596312071488,0.00942337877112096,15.0,33.0
2017-06-21,17.161686137686523,fragile,brazil_drawdown_pressure,covered_call,-0.015051027944181259,-0.03226873304260658,0.01721770509842532,15.0,33.0
2017-07-20,0.3308519675377277,calm,global_equity_pressure,passive_brazil_equity,0.06754000175483865,0.06754000175483865,0.0,15.0,33.0
2017-08-18,4.633801705576992,calm,fx_pressure,passive_brazil_equity,0.059282887979332566,0.059282887979332566,0.0,15.0,33.0
2017-09-18,8.025177754660804,calm,external_brazil_pressure,passive_brazil_equity,0.10576197758677441,0.10576197758677441,0.0,15.0,33.0
2017-10-17,19.13300065066654,fragile,brazil_vol_pressure,covered_call,0.006569282082360359,0.002857130400988561,0.003712151681371798,15.0,33.0
2017-11-15,61.883440775598906,extreme_stress,brazil_drawdown_pressure,collar,-0.04757626826361771,-0.07122507210973406,0.023648803846116347,15.0,33.0
2017-12-14,29.53502996281597,fragile,brazil_vol_pressure,covered_call,0.030366778826181787,0.022494901199562323,0.007871877626619464,15.0,33.0
2018-01-12,3.68060975326878,calm,vix_pressure,passive_brazil_equity,0.09528568812779015,0.09528568812779015,0.0,15.0,33.0
2018-02-12,10.309606340721466,calm,brazil_drawdown_pressure,passive_brazil_equity,0.01956436723390409,0.01956436723390409,0.0,15.0,33.0
2018-03-13,8.042989053051935,calm,global_equity_pressure,passive_brazil_equity,0.06818475061922347,0.06818475061922347,0.0,15.0,33.0
2018-04-11,3.8408845419525752,calm,global_equity_pressure,passive_brazil_equity,-0.012574886847398936,-0.012574886847398936,0.0,15.0,33.0
2018-05-10,6.961002314236575,calm,fx_pressure,passive_brazil_equity,0.00509406687550884,0.00509406687550884,0.0,15.0,33.0
2018-06-08,37.151541015707984,stress,brazil_drawdown_pressure,collar,-0.04651168808537032,-0.15047665991802384,0.10396497183265352,15.0,33.0
2018-07-09,4.433496750216558,calm,brazil_drawdown_pressure,passive_brazil_equity,0.029119252527426642,0.029119252527426642,0.0,15.0,33.0
2018-08-07,9.568347083224664,calm,external_brazil_pressure,passive_brazil_equity,0.06956523295822747,0.06956523295822747,0.0,15.0,33.0
2018-09-05,13.15484643176021,calm,brazil_vol_pressure,passive_brazil_equity,-0.06542779500055573,-0.06542779500055573,0.0,15.0,33.0
2018-10-04,31.189184198450732,fragile,vix_pressure,covered_call,0.04155778762308389,0.10301020813435491,-0.06145242051127102,15.0,33.0
2018-11-02,11.20635905289582,calm,brazil_vol_pressure,passive_brazil_equity,0.06722587545347292,0.06722587545347292,0.0,15.0,33.0
2018-12-03,5.667345418657789,calm,external_brazil_pressure,passive_brazil_equity,0.014545429487032635,0.014545429487032635,0.0,15.0,33.0
2019-01-01,1.7106503687529793,calm,external_brazil_pressure,passive_brazil_equity,-0.021852230735690092,-0.021852230735690092,0.0,15.0,33.0
2019-01-30,0.0,calm,brazil_drawdown_pressure,passive_brazil_equity,0.10543733250389975,0.10543733250389975,0.0,15.0,33.0
2019-02-28,11.74501539931113,calm,external_brazil_pressure,passive_brazil_equity,0.0034217248322361282,0.0034217248322361282,0.0,15.0,33.0
2019-03-29,23.47913104101398,fragile,brazil_vol_pressure,covered_call,-0.013068997842715405,-0.021632553905772123,0.008563556063056718,15.0,33.0
2019-04-29,3.624949944051634,calm,vix_pressure,passive_brazil_equity,0.009911814468011482,0.009911814468011482,0.0,15.0,33.0
2019-05-28,14.349021724098012,calm,global_equity_pressure,passive_brazil_equity,0.0014020411098629726,0.0014020411098629726,0.0,15.0,33.0
2019-06-26,4.702469960345281,calm,fx_pressure,passive_brazil_equity,0.04308023764927538,0.04308023764927538,0.0,15.0,33.0
2019-07-25,15.967801304015442,fragile,external_brazil_pressure,covered_call,0.028316004815885344,0.0201342757703582,0.008181729045527143,15.0,33.0
2019-08-23,64.87451146877773,extreme_stress,brazil_drawdown_pressure,collar,-0.04484379877704833,-0.0483806301725247,0.003536831395476364,15.0,33.0
2019-09-23,4.422470809391186,calm,external_brazil_pressure,passive_brazil_equity,0.07189962111883341,0.07189962111883341,0.0,15.0,33.0
2019-10-22,4.239423378666007,calm,global_equity_pressure,passive_brazil_equity,0.02440959629162065,0.02440959629162065,0.0,15.0,33.0
2019-11-20,6.836325794914271,calm,global_equity_pressure,passive_brazil_equity,-0.012398283667013454,-0.012398283667013454,0.0,15.0,33.0
2019-12-19,0.0,calm,brazil_drawdown_pressure,passive_brazil_equity,0.08689682904970564,0.08689682904970564,0.0,15.0,33.0
2020-01-17,5.402134691340986,calm,brazil_vol_pressure,passive_brazil_equity,0.029597534635709577,0.029597534635709577,0.0,15.0,33.0
2020-02-17,19.221951373042288,fragile,brazil_vol_pressure,covered_call,-0.025086208395683776,-0.02892195851441448,0.0038357501187307047,15.0,33.0
2020-03-17,49.22854109301276,stress,brazil_drawdown_pressure,collar,-0.04638364631334469,-0.35920579382264195,0.31282214750929727,15.0,33.0
2020-04-15,11.791037531416567,calm,brazil_drawdown_pressure,passive_brazil_equity,0.07112680354588474,0.07112680354588474,0.0,15.0,33.0
