date,passive_brazil_equity,covered_call,collar,stress_aware_overlay,bsti_policy_overlay
2014-05-30,-0.006164274560498173,0.004490390541048581,-0.0016204035747125383,-0.006164274560498173,0.004490390541048581
2014-06-30,0.03421366746967647,0.040476039397305395,0.03449598057138615,0.03421366746967647,0.040476039397305395
2014-07-29,0.07680404964552978,0.038550459227560424,0.03393561944759218,0.07680404964552978,0.07680404964552978
2014-08-27,0.0648580779778678,0.03824314109249097,0.033837798369715434,0.0648580779778678,0.0648580779778678
2014-09-25,-0.08216633869195211,-0.07375977388222762,-0.04610986519048622,-0.08216633869195211,-0.04610986519048622
2014-10-24,-0.0753676870186838,-0.06515468241811269,-0.045575707801618674,-0.0753676870186838,-0.06515468241811269
2014-11-24,0.07017897907627146,0.05330230737210764,0.03691067579686894,0.07017897907627146,0.07017897907627146
2014-12-23,-0.08341076585058749,-0.05505596693947153,-0.04246040395433311,-0.08341076585058749,-0.08341076585058749
2015-01-21,-0.031009298227913096,-7.94093447286019e-05,-0.023186464181436668,-0.031009298227913096,-0.031009298227913096
2015-02-19,0.04162304552622831,0.05297951495385088,0.0368664752260993,0.0368664752260993,0.04162304552622831
2015-03-20,0.010441776420283544,0.02832124113470215,0.01652402357736347,0.01652402357736347,0.010441776420283544
2015-04-20,0.03815584251364901,0.04372386603331144,0.035280413142534675,0.035280413142534675,0.03815584251364901
2015-05-19,0.0323506617995688,0.041182544470960966,0.03468180971571018,0.03468180971571018,0.0323506617995688
2015-06-17,-0.042462468061724934,-0.03220569957661554,-0.03802615011200892,-0.03802615011200892,-0.042462468061724934
2015-07-16,-0.002323759359083577,0.007079422032602372,0.001870566751037475,0.001870566751037475,-0.002323759359083577
2015-08-14,-0.10520190092168036,-0.0969201505971915,-0.04614977100663442,-0.04614977100663442,-0.0969201505971915
2015-09-14,0.0,0.00909955578674699,0.004104262829218744,0.004104262829218744,0.00909955578674699
2015-10-13,-0.0036875959777036282,0.010391794002053378,0.0016690581355758615,0.0016690581355758615,0.010391794002053378
2015-11-11,-0.0032658725208413175,0.015374648670901592,0.002945176167619741,0.002945176167619741,-0.0032658725208413175
2015-12-10,-0.03189163659683003,-0.01247698109469619,-0.0255542814092393,-0.0255542814092393,-0.01247698109469619
2016-01-08,-0.11236461138373843,-0.09405590814914871,-0.04384452385957097,-0.04384452385957097,-0.09405590814914871
2016-02-08,0.0002541515377332271,0.01479562517235596,0.005707494383557772,0.005707494383557772,0.01479562517235596
2016-03-08,0.21219828748684244,0.0475862149626069,0.036031318295801446,0.036031318295801446,0.21219828748684244
2016-04-06,-0.018448659413837,0.0027585190444854896,-0.011835274840292904,-0.011835274840292904,0.0027585190444854896
2016-05-05,0.07496800852432495,0.056571519207312126,0.03732990307365316,0.03732990307365316,0.07496800852432495
2016-06-03,-0.024438770359325845,0.0007560668418594781,-0.01727946329032213,-0.01727946329032213,-0.024438770359325845
2016-07-04,0.038900201767191556,0.05158500310631408,0.036668887505591885,0.036668887505591885,0.038900201767191556
2016-08-02,0.06645762234645392,0.04788826994902816,0.03608376491530698,0.03608376491530698,0.06645762234645392
2016-08-31,0.02812497677171999,0.041458619035190124,0.033319768233974915,0.02812497677171999,0.02812497677171999
2016-09-29,0.009476109000625677,0.021135486699736205,0.014278143460189578,0.009476109000625677,0.021135486699736205
2016-10-28,0.10325897849080956,0.0401157531108295,0.03439742606935599,0.0401157531108295,0.0401157531108295
2016-11-28,-0.023117714243720555,-0.013275155202688682,-0.01879683249849634,-0.023117714243720555,-0.013275155202688682
2016-12-27,-0.06639272312468913,-0.05132048923138329,-0.0444387845873824,-0.0444387845873824,-0.06639272312468913
2017-01-25,0.12497796695106445,0.04575436770315727,0.035695150412945305,0.04575436770315727,0.12497796695106445
2017-02-23,0.022062272739454603,0.03900297125133549,0.027978790488589995,0.022062272739454603,0.022062272739454603
2017-03-24,-0.05266378816259487,-0.04040522463243643,-0.04505238592642944,-0.05266378816259487,-0.04040522463243643
2017-04-24,0.006625724633727792,0.01696227406525909,0.011083863853368691,0.01696227406525909,0.006625724633727792
2017-05-23,-0.024883596312071488,-0.015460217540950527,-0.020683356292355334,-0.024883596312071488,-0.015460217540950527
2017-06-21,-0.03226873304260658,-0.015051027944181259,-0.026302487822644285,-0.026302487822644285,-0.015051027944181259
2017-07-20,0.06754000175483865,0.045443690389007,0.035634784427661256,0.035634784427661256,0.06754000175483865
2017-08-18,0.059282887979332566,0.04481539933231618,0.035509429749512295,0.059282887979332566,0.059282887979332566
2017-09-18,0.10576197758677441,0.03434015716677391,0.03231394331417997,0.10576197758677441,0.10576197758677441
2017-10-17,0.002857130400988561,0.006569282082360359,0.00486052679429527,0.002857130400988561,0.006569282082360359
2017-11-15,-0.07122507210973406,-0.06665122067772328,-0.04757626826361771,-0.07122507210973406,-0.04757626826361771
2017-12-14,0.022494901199562323,0.030366778826181787,0.026211024159471397,0.026211024159471397,0.030366778826181787
2018-01-12,0.09528568812779015,0.04215999070907561,0.03492406791853917,0.03492406791853917,0.09528568812779015
2018-02-12,0.01956436723390409,0.03163418124314721,0.024466757857888766,0.01956436723390409,0.01956436723390409
2018-03-13,0.06818475061922347,0.04174177684477194,0.0348224085831118,0.0348224085831118,0.06818475061922347
2018-04-11,-0.012574886847398936,-0.005031166472918309,-0.008969673359573372,-0.005031166472918309,-0.012574886847398936
2018-05-10,0.00509406687550884,0.013433370167902681,0.008962749533769247,0.013433370167902681,0.00509406687550884
2018-06-08,-0.15047665991802384,-0.14326862034026705,-0.04651168808537032,-0.14326862034026705,-0.04651168808537032
2018-07-09,0.029119252527426642,0.040933207941067855,0.033959413518726944,0.033959413518726944,0.029119252527426642
2018-08-07,0.06956523295822747,0.043114068025808264,0.03514568654749558,0.03514568654749558,0.06956523295822747
2018-09-05,-0.06542779500055573,-0.05195757605278234,-0.04477500491938582,-0.05195757605278234,-0.06542779500055573
2018-10-04,0.10301020813435491,0.04155778762308389,0.034776755001951806,0.034776755001951806,0.04155778762308389
2018-11-02,0.06722587545347292,0.04328409982901023,0.03518377125335031,0.03518377125335031,0.06722587545347292
2018-12-03,0.014545429487032635,0.03291039783840102,0.02071039147754436,0.02071039147754436,0.014545429487032635
2019-01-01,-0.021852230735690092,-0.004819821160414517,-0.01591917060371551,-0.004819821160414517,-0.021852230735690092
2019-01-30,0.10543733250389975,0.04484469695005962,0.03551537581073029,0.10543733250389975,0.10543733250389975
2019-02-28,0.0034217248322361282,0.013251338087743036,0.007738939395030187,0.013251338087743036,0.0034217248322361282
2019-03-29,-0.021632553905772123,-0.013068997842715405,-0.01769282191506055,-0.021632553905772123,-0.013068997842715405
2019-04-29,0.009911814468011482,0.0233380967615773,0.015127121158374869,0.015127121158374869,0.009911814468011482
2019-05-28,0.0014020411098629726,0.01363139101106481,0.006342693073153886,0.0014020411098629726,0.0014020411098629726
2019-06-26,0.04308023764927538,0.04322862390598763,0.035171390367049624,0.04322862390598763,0.04308023764927538
2019-07-25,0.0201342757703582,0.028316004815885344,0.02395221679384476,0.0201342757703582,0.028316004815885344
