date,horizon_days,bsti_0_100,bsti_regime,forward_return,forward_max_drawdown,future_negative_return,future_drawdown_5pct,future_drawdown_10pct,future_observations
2014-01-03,21,0.0,calm,-0.08465282807617269,-0.0953049756311719,True,True,False,21
2014-01-03,63,0.0,calm,0.024563600089303916,-0.12118781896138753,False,True,True,63
2014-01-06,21,0.0,calm,-0.08085872325358745,-0.0953049756311718,True,True,False,21
2014-01-06,63,0.0,calm,0.007223126188792506,-0.1211878189613873,False,True,True,63
2014-01-07,21,0.0,calm,-0.07495426896242785,-0.08502432488836142,True,True,False,21
2014-01-07,63,0.0,calm,0.01300019085109616,-0.11120129216680408,False,True,True,63
2014-01-08,21,0.0,calm,-0.05296267603496885,-0.08502432488836131,True,True,False,21
2014-01-08,63,0.0,calm,0.031858760830241195,-0.11120129216680397,False,True,True,63
2014-01-09,21,0.0,calm,-0.023473225642753448,-0.07526657701554029,True,True,False,21
2014-01-09,63,0.0,calm,0.04570005797325605,-0.1017227082692953,False,True,True,63
2014-01-10,21,0.0,calm,-0.03704472116789104,-0.07526657701554063,True,True,False,21
2014-01-10,63,0.0,calm,0.032284796836580476,-0.10172270826929519,False,True,True,63
2014-01-13,21,0.0,calm,-0.021135447130989138,-0.07526657701554051,True,True,False,21
2014-01-13,63,0.0,calm,0.03315379909792626,-0.10172270826929541,False,True,True,63
2014-01-14,21,0.0,calm,-0.028110801577634903,-0.07526657701554051,True,True,False,21
2014-01-14,63,0.0,calm,0.0440263994707053,-0.10172270826929553,False,True,True,63
2014-01-15,21,0.0,calm,-0.03978668362365878,-0.07526657701554063,True,True,False,21
2014-01-15,63,0.0,calm,0.031583284834677094,-0.10172270826929541,False,True,True,63
2014-01-16,21,0.0,calm,-0.030902347995633406,-0.07107541610770429,True,True,False,21
2014-01-16,63,0.0,calm,0.011124864139725243,-0.09765145424524535,False,True,False,63
2014-01-17,21,0.0,calm,-0.033527709183752585,-0.06413449840215024,True,True,False,21
2014-01-17,63,0.0,calm,0.03852558218420432,-0.09090911250253164,False,True,False,63
2014-01-20,21,0.0,calm,-0.044000003212376626,-0.06413449840215013,True,True,False,21
2014-01-20,63,0.0,calm,0.06863154361122548,-0.09090911250253175,False,True,False,63
2014-01-21,21,0.0,calm,-0.03379088755399973,-0.06413449840214991,True,True,False,21
2014-01-21,63,0.0,calm,0.0720168945575752,-0.09090911250253153,False,True,False,63
2014-01-22,21,0.0,calm,-0.042341239157447585,-0.06413449840215013,True,True,False,21
2014-01-22,63,0.0,calm,0.053549149024813,-0.09090911250253197,False,True,False,63
2014-01-23,21,0.0,calm,-0.019499829963791848,-0.04429843448641546,True,False,False,21
2014-01-23,63,0.0,calm,0.0735481390050452,-0.07281969346276074,False,True,False,63
2014-01-24,21,0.0,calm,-0.011600449503282095,-0.03873839470858553,True,False,False,21
2014-01-24,63,0.0,calm,0.07862513227493761,-0.07281969346276074,False,True,False,63
2014-01-27,21,0.0,calm,-0.02337551206562627,-0.038738394708585755,True,False,False,21
2014-01-27,63,0.0,calm,0.07741798257903132,-0.07281969346276085,False,True,False,63
2014-01-28,21,0.0,calm,-0.028687651013748927,-0.03958515410964569,True,False,False,21
2014-01-28,63,0.0,calm,0.07043461742693569,-0.07281969346276063,False,True,False,63
2014-01-29,21,0.0,calm,0.006486469990498289,-0.039585154109645804,False,False,False,21
2014-01-29,63,0.0,calm,0.08216214566617408,-0.07281969346276052,False,True,False,63
2014-01-30,21,0.0,calm,0.0002171073648085109,-0.039585154109645804,False,False,False,21
2014-01-30,63,0.0,calm,0.09659215959229583,-0.07281969346276063,False,True,False,63
2014-01-31,21,14.805537280605488,calm,-0.008179019821482725,-0.039585154109645915,True,False,False,21
2014-01-31,63,14.805537280605488,calm,0.08243654555591129,-0.07281969346276085,False,True,False,63
2014-02-03,21,40.64197372563634,stress,0.021956124974862767,-0.03958515410964547,False,False,False,21
2014-02-03,63,40.64197372563634,stress,0.11532492227416968,-0.07281969346276052,False,True,False,63
2014-02-04,21,13.003305377669495,calm,-0.008295155134764753,-0.039585154109645915,True,False,False,21
2014-02-04,63,13.003305377669495,calm,0.1259550378692591,-0.07281969346276074,False,True,False,63
2014-02-05,21,11.47675621474734,calm,0.006807148712376421,-0.03958515410964569,False,False,False,21
2014-02-05,63,11.47675621474734,calm,0.14295121191606297,-0.0728196934627604,False,True,False,63
2014-02-06,21,4.343341544259988,calm,-0.035140335418734514,-0.046782447515816394,True,False,False,21
2014-02-06,63,4.343341544259988,calm,0.12170560377170414,-0.07281969346276118,False,True,False,63
2014-02-07,21,5.198952642778381,calm,-0.058072742814496925,-0.06265882290430091,True,True,False,21
2014-02-07,63,5.198952642778381,calm,0.12039991596467514,-0.07281969346276074,False,True,False,63
2014-02-10,21,15.06214277938236,fragile,-0.043197901875457356,-0.06265882290430114,True,True,False,21
2014-02-10,63,15.06214277938236,fragile,0.11734371464456772,-0.07281969346276085,False,True,False,63
2014-02-11,21,9.858556714644036,calm,-0.053132981520925715,-0.06265882290430103,True,True,False,21
2014-02-11,63,9.858556714644036,calm,0.09462314240440528,-0.07281969346276074,False,True,False,63
2014-02-12,21,12.48977935134366,calm,-0.056571667833169914,-0.0586735136588703,True,True,False,21
2014-02-12,63,12.48977935134366,calm,0.11739686099582469,-0.06887758536155342,False,True,False,63
2014-02-13,21,14.124676311129111,calm,-0.06450235962085082,-0.06887758536155375,True,True,False,21
2014-02-13,63,14.124676311129111,calm,0.12323794308784541,-0.06887758536155375,False,True,False,63
2014-02-14,21,8.964568098197228,calm,-0.06462586854508046,-0.06887758536155353,True,True,False,21
2014-02-14,63,8.964568098197228,calm,0.12521256962187377,-0.06887758536155353,False,True,False,63
2014-02-17,21,12.035313755743447,calm,-0.031027766245280364,-0.05907626305202174,True,True,False,21
2014-02-17,63,12.035313755743447,calm,0.1316526746485709,-0.05907626305202174,False,True,False,63
2014-02-18,21,34.94362424949098,stress,-0.0008808834103007923,-0.05907626305202196,True,True,False,21
2014-02-18,63,34.94362424949098,stress,0.1594362850208073,-0.05907626305202196,False,True,False,63
2014-02-19,21,27.51239289439252,fragile,0.00502731239860843,-0.05907626305202163,False,True,False,21
2014-02-19,63,27.51239289439252,fragile,0.136830564405098,-0.05907626305202163,False,True,False,63
2014-02-20,21,12.425308094385311,calm,0.003034230418300199,-0.05907626305202196,False,True,False,21
2014-02-20,63,12.425308094385311,calm,0.10728220260986898,-0.05907626305202196,False,True,False,63
2014-02-21,21,9.467125291942107,calm,0.015131880422347477,-0.05907626305202163,False,True,False,21
2014-02-21,63,9.467125291942107,calm,0.09857331471558672,-0.05907626305202163,False,True,False,63
2014-02-24,21,11.239776649891505,calm,0.022603802509607807,-0.05907626305202174,False,True,False,21
2014-02-24,63,11.239776649891505,calm,0.12019132353252071,-0.05907626305202174,False,True,False,63
2014-02-25,21,15.740953046498715,fragile,0.026570027671213747,-0.059076263052021516,False,True,False,21
2014-02-25,63,15.740953046498715,fragile,0.12560380524840165,-0.059076263052021516,False,True,False,63
2014-02-26,21,15.927319988728495,fragile,0.06876797046581795,-0.05907626305202163,False,True,False,21
2014-02-26,63,15.927319988728495,fragile,0.137315399799538,-0.05907626305202163,False,True,False,63
2014-02-27,21,12.512969573671562,calm,0.04360907899603084,-0.05907626305202174,False,True,False,21
2014-02-27,63,12.512969573671562,calm,0.09280343212948772,-0.05907626305202174,False,True,False,63
2014-02-28,21,21.259280273951408,fragile,0.06532114153486601,-0.04947922099381474,False,False,False,21
2014-02-28,63,21.259280273951408,fragile,0.11328118920533492,-0.04947922099381474,False,False,False,63
2014-03-03,21,38.38255599413223,stress,0.06445306614558977,-0.04947922099381474,False,False,False,21
2014-03-03,63,38.38255599413223,stress,0.10503463857566153,-0.04947922099381474,False,False,False,63
2014-03-04,21,7.8919452473478575,calm,0.0952690801910927,-0.04947922099381474,False,False,False,21
2014-03-04,63,7.8919452473478575,calm,0.08463536363302282,-0.0557340023791949,False,True,False,63
2014-03-05,21,8.399072710040373,calm,0.10499670758796475,-0.04471099902473519,False,False,False,21
2014-03-05,63,8.399072710040373,calm,0.10741802851274351,-0.05573400237919479,False,True,False,63
2014-03-06,21,7.641715124515678,calm,0.08767722118971677,-0.0447109990247353,False,False,False,21
2014-03-06,63,7.641715124515678,calm,0.10577976990677285,-0.05573400237919479,False,True,False,63
2014-03-07,21,23.215091441048962,fragile,0.12924716528084979,-0.027315113825893023,False,False,False,21
2014-03-07,63,23.215091441048962,fragile,0.12191876143223346,-0.05573400237919468,False,True,False,63
2014-03-10,21,27.061845244216375,fragile,0.1368564033503179,-0.02079142219301,False,False,False,21
2014-03-10,63,27.061845244216375,fragile,0.1336947187634192,-0.05573400237919479,False,True,False,63
2014-03-11,21,19.94144015015333,fragile,0.12039534041417266,-0.020791422193010112,False,False,False,21
2014-03-11,63,19.94144015015333,fragile,0.16352198347804348,-0.0557340023791949,False,True,False,63
2014-03-12,21,15.249457427283103,fragile,0.11468815382551534,-0.02079142219301,False,False,False,21
2014-03-12,63,15.249457427283103,fragile,0.18242789919340474,-0.05573400237919501,False,True,False,63
2014-03-13,21,26.231160043941333,fragile,0.13863835948069303,-0.019468985122455096,False,False,False,21
2014-03-13,63,26.231160043941333,fragile,0.19972949703440945,-0.05573400237919501,False,True,False,63
2014-03-14,21,23.87831547871242,fragile,0.14840182906898658,-0.019468985122455207,False,False,False,21
2014-03-14,63,23.87831547871242,fragile,0.2269406989622902,-0.05573400237919501,False,True,False,63
2014-03-17,21,11.868044312248164,calm,0.11545458706942502,-0.034808194615132626,False,False,False,21
2014-03-17,63,11.868044312248164,calm,0.22136367451060934,-0.05573400237919479,False,True,False,63
2014-03-18,21,10.79830872286342,calm,0.10896147605452633,-0.034808194615132515,False,False,False,21
2014-03-18,63,10.79830872286342,calm,0.18834772461839577,-0.05573400237919479,False,True,False,63
2014-03-19,21,11.563074256632994,calm,0.11880095914792976,-0.034808194615132515,False,False,False,21
2014-03-19,63,11.563074256632994,calm,0.17368307810510908,-0.055734002379195235,False,True,False,63
2014-03-20,21,7.579564898898342,calm,0.1039582172006348,-0.034808194615132404,False,False,False,21
2014-03-20,63,7.579564898898342,calm,0.14897786770367705,-0.0557340023791949,False,True,False,63
2014-03-21,21,5.982512898706067,calm,0.09680206699228422,-0.03480819461513274,False,False,False,21
2014-03-21,63,5.982512898706067,calm,0.16184100855718753,-0.05573400237919479,False,True,False,63
2014-03-24,21,4.455808895116921,calm,0.07857756629783164,-0.03480819461513274,False,False,False,21
2014-03-24,63,4.455808895116921,calm,0.1450170678462126,-0.05573400237919479,False,True,False,63
2014-03-25,21,0.9559032244025479,calm,0.06716259083215981,-0.03480819461513274,False,False,False,21
2014-03-25,63,0.9559032244025479,calm,0.13071204305216333,-0.05573400237919501,False,True,False,63
2014-03-26,21,9.382332219204821,calm,0.07465244232014534,-0.03480819461513285,False,False,False,21
2014-03-26,63,9.382332219204821,calm,0.1285561138295872,-0.055734002379195235,False,True,False,63
