strategy,annualized_active_return,tracking_error,information_ratio,hit_rate_vs_benchmark,downside_hit_rate,avg_active_return,worst_active_period,observations
covered_call,-0.0286738081228276,0.10331102670422082,-0.2775483802413525,0.7483443708609272,1.0,-0.0023894840102356334,-0.16461207252423554,151
collar,-0.06162120911827122,0.1481724158492624,-0.4158750383131987,0.695364238410596,1.0,-0.005135100759855935,-0.176166969191041,151
stress_aware_overlay,-0.04568856707974631,0.13619753772532153,-0.33545809889668804,0.44370860927152317,0.6417910447761194,-0.0038073805899788596,-0.176166969191041,151
