state,episodes,avg_duration_observations,median_duration_observations,max_duration_observations,avg_bsti_0_100,max_bsti_0_100
normal,449,4.380846325167038,2.0,46,8.373382970088073,14.997931957800981
warning,525,1.8857142857142857,1.0,15,21.470226389452847,32.98295105847235
stress,165,1.709090909090909,1.0,24,41.68681967483814,99.51359199697131
