weight_scheme,horizon_days,bsti_threshold,governance_score,observations,signal_observations,signal_frequency,avg_forward_return_signal_on,avg_forward_return_signal_off,avg_forward_max_drawdown_signal_on,avg_forward_max_drawdown_signal_off,future_negative_return_precision,future_drawdown_5pct_precision,future_drawdown_10pct_precision,future_negative_return_recall,future_drawdown_5pct_recall,future_drawdown_10pct_recall
balanced,21,10.0,0.3355147073374433,3228,1834,0.5681536555142503,0.010274205867278686,0.010443165979658577,-0.056318332133130845,-0.0468284081678608,0.4372955288985823,0.4612868047982552,0.08724100327153762,0.5651867512332629,0.6095100864553314,0.7619047619047619
balanced,21,15.0,0.31139532735508674,3228,1263,0.3912639405204461,0.0073121101082212776,0.012297950060839537,-0.05977619904096253,-0.0473635026612846,0.44813935075217737,0.48139350752177357,0.1060965954077593,0.3988724453840733,0.43804034582132567,0.638095238095238
balanced,21,20.0,0.2904528374910886,3228,844,0.2614622057001239,0.008536370247952684,0.010988242637148113,-0.06195637727372183,-0.04877325490735684,0.43601895734597157,0.49644549763033174,0.12085308056872038,0.25933756166314303,0.30187319884726227,0.4857142857142857
balanced,21,25.0,0.2823409707416771,3228,550,0.17038413878562578,0.005928442406270625,0.01125467647975516,-0.06700316218816593,-0.04918404888523849,0.4309090909090909,0.52,0.1509090909090909,0.16701902748414377,0.20605187319884727,0.3952380952380952
balanced,21,33.0,0.2938478507892541,3228,281,0.08705080545229243,-0.005003242271795956,0.011810851039907646,-0.08093401724732724,-0.049482240675826586,0.4555160142348754,0.5800711743772242,0.2206405693950178,0.09020436927413672,0.11743515850144093,0.29523809523809524
balanced,21,40.0,0.28776409212200277,3228,154,0.04770755885997522,-0.00486951883909948,0.011109490187851168,-0.08534644137638754,-0.050560595363108723,0.44155844155844154,0.5909090909090909,0.24675324675324675,0.04792107117688513,0.06556195965417867,0.18095238095238095
balanced,21,50.0,0.294951591956725,3228,58,0.017967781908302356,-0.011710733631288384,0.010750753781340031,-0.09963779218720634,-0.051352564722808185,0.4482758620689655,0.6206896551724138,0.3103448275862069,0.018322762508809022,0.025936599423631124,0.08571428571428572
balanced,63,10.0,0.5034244729581412,3228,1834,0.5681536555142503,0.03858352630633153,0.022084579807311683,-0.09798473152268948,-0.0912660398869903,0.38331515812431843,0.8647764449291166,0.326608505997819,0.563301282051282,0.5658223332144131,0.5984015984015985
balanced,63,15.0,0.46469299354288557,3228,1263,0.3912639405204461,0.03610106617860197,0.02847452667360317,-0.10270528418227234,-0.09018426630680254,0.39667458432304037,0.8566904196357878,0.3499604117181314,0.4014423076923077,0.3860149839457724,0.44155844155844154
balanced,63,20.0,0.43469755521731374,3228,844,0.2614622057001239,0.03935633773000356,0.028662475861191913,-0.10416007175593374,-0.09186986436789803,0.39691943127962087,0.8483412322274881,0.3590047393364929,0.26842948717948717,0.2554405993578309,0.3026973026973027
balanced,63,25.0,0.4261540805662954,3228,550,0.17038413878562578,0.034641792462698696,0.03080474445209867,-0.11050478342381731,-0.09191606659147776,0.41818181818181815,0.8636363636363636,0.38727272727272727,0.1842948717948718,0.16946129147342134,0.2127872127872128
balanced,63,33.0,0.43034793370131597,3228,281,0.08705080545229243,0.023958185151395826,0.032173682208911536,-0.1261908521113589,-0.09211714549432816,0.4306049822064057,0.900355871886121,0.45195729537366547,0.09695512820512821,0.09026043524794862,0.12687312687312688
balanced,63,40.0,0.42362094959580654,3228,154,0.04770755885997522,0.02437935554451998,0.031813165498812114,-0.13006078440933286,-0.09333100078595957,0.44805194805194803,0.9025974025974026,0.461038961038961,0.055288461538461536,0.04958972529432751,0.07092907092907093
balanced,63,50.0,0.4575935888333242,3228,58,0.017967781908302356,0.01657080180923188,0.031730910092198444,-0.14933262068284547,-0.09409071457901322,0.46551724137931033,0.9827586206896551,0.5689655172413793,0.021634615384615384,0.02033535497681056,0.03296703296703297
local_risk_heavy,21,10.0,0.3391412876051487,3228,1795,0.5560718711276332,0.00998963229815657,0.010795029281955424,-0.05697125250148782,-0.04626882336216976,0.4406685236768802,0.46852367688022284,0.09025069637883008,0.5574348132487668,0.6059077809798271,0.7714285714285715
local_risk_heavy,21,15.0,0.3201403957345809,3228,1369,0.42410161090458487,0.00997897678824616,0.010618315068921018,-0.05915320584083369,-0.047114514966142336,0.4382761139517896,0.4828341855368882,0.10299488677867057,0.42283298097251587,0.4762247838616715,0.6714285714285714
local_risk_heavy,21,20.0,0.3015486185736303,3228,967,0.29956629491945475,0.007526709074616446,0.0115534450513397,-0.06281283316043978,-0.04768978878903788,0.43950361944157185,0.4984488107549121,0.12409513960703206,0.29950669485553205,0.3472622478386167,0.5714285714285714
local_risk_heavy,21,25.0,0.30012275743424444,3228,699,0.21654275092936803,0.005386417655512604,0.011718292208394565,-0.06635538100310687,-0.04831325061169956,0.43919885550786836,0.5293276108726752,0.1430615164520744,0.21634954193093728,0.2665706051873199,0.47619047619047616
local_risk_heavy,21,33.0,0.3025679147234415,3228,385,0.11926889714993805,-0.002403142783951734,0.012073822338394154,-0.07708585312798809,-0.048852820493803906,0.4597402597402597,0.5792207792207792,0.21038961038961038,0.12473572938689217,0.16066282420749278,0.38571428571428573
local_risk_heavy,21,40.0,0.3076771377003996,3228,243,0.07527881040892194,-0.010506955671492915,0.012044843271157771,-0.084929759586026,-0.04955735026423972,0.4897119341563786,0.6131687242798354,0.26337448559670784,0.08386187455954898,0.10734870317002881,0.3047619047619048
local_risk_heavy,21,50.0,0.34329884638595504,3228,116,0.03593556381660471,-0.020773849885586924,0.011507208715604515,-0.10555995597011003,-0.050231898208749085,0.5344827586206896,0.7068965517241379,0.35344827586206895,0.04369274136715997,0.059077809798270896,0.19523809523809524
local_risk_heavy,63,10.0,0.49741068691132184,3228,1795,0.5560718711276332,0.0391779386073822,0.021789038169541846,-0.09820543119929971,-0.09117244118097279,0.3838440111420613,0.8590529247910863,0.32701949860724233,0.5520833333333334,0.5501248662147699,0.5864135864135864
local_risk_heavy,63,15.0,0.4688653659954142,3228,1369,0.42410161090458487,0.04247693828768617,0.02334435878502536,-0.10055719459010252,-0.09105220969404335,0.3754565376186998,0.8539079620160701,0.3316289262235208,0.41185897435897434,0.4170531573314306,0.45354645354645357
local_risk_heavy,63,20.0,0.4400105365958197,3228,967,0.29956629491945475,0.042843111330260676,0.026589474940664506,-0.10323863385668446,-0.09159535527450823,0.3877973112719752,0.8448810754912099,0.34953464322647365,0.3004807692307692,0.2914734213342847,0.33766233766233766
local_risk_heavy,63,25.0,0.42454747641633933,3228,699,0.21654275092936803,0.04059338133365452,0.02893369630090154,-0.1077235754954255,-0.0915895919113383,0.4034334763948498,0.844062947067239,0.37339055793991416,0.22596153846153846,0.2104887620406707,0.26073926073926074
local_risk_heavy,63,33.0,0.4251007998192305,3228,385,0.11926889714993805,0.031562141105846216,0.03144448370434532,-0.12056824868390387,-0.09163210744698345,0.42857142857142855,0.8779220779220779,0.42597402597402595,0.13221153846153846,0.12058508740635034,0.16383616383616384
local_risk_heavy,63,40.0,0.4288502227019256,3228,243,0.07527881040892194,0.021899758826559715,0.032236666700954944,-0.12922110969732742,-0.09230423033789831,0.448559670781893,0.9012345679012346,0.46502057613168724,0.08733974358974358,0.07813057438458794,0.11288711288711288
