strategy,annualized_return,annualized_volatility,max_drawdown,annualized_active_return,tracking_error,information_ratio,hit_rate_vs_passive,avg_period_return,avg_active_return,best_active_period,worst_active_period,observations
passive_brazil_equity,0.12098304416176947,0.22239421663350684,-0.3777388172699806,0.0,0.0,,0.0,0.010081920346814122,0.0,0.0,0.0,151
covered_call,0.09230923603894184,0.16799827749914717,-0.36789470005993286,-0.0286738081228276,0.10331102670422082,-0.2775483802413525,0.7483443708609272,0.007692436336578486,-0.0023894840102356334,0.07339450797880656,-0.16461207252423554,151
collar,0.059361835043498234,0.10225388022473572,-0.21492081316693523,-0.06162120911827122,0.1481724158492624,-0.4158750383131987,0.695364238410596,0.004946819586958186,-0.005135100759855935,0.31282214750929727,-0.176166969191041,151
stress_aware_overlay,0.07529447708202314,0.13619590532226228,-0.2300677520444525,-0.04568856707974631,0.13619753772532153,-0.33545809889668804,0.44370860927152317,0.006274539756835261,-0.0038073805899788596,0.31282214750929727,-0.176166969191041,151
bsti_policy_overlay,0.17635063250266622,0.17657207695983013,-0.25006447893004,0.05536758834089679,0.1018481541437543,0.543628785483415,0.3576158940397351,0.014695886041888852,0.004613965695074732,0.31282214750929727,-0.08889306683626616,151
