start_date,end_date,strategy,selected_component,regime,start_price,end_price,underlying_return,annualized_volatility,call_premium_income,put_protection_cost,option_payoff_effect,implementation_drag,gross_overlay_effect,net_overlay_effect,net_strategy_return,option_legs
2014-01-31,2014-03-03,collar,collar,neutral,46.459999084472656,46.08000183105469,-0.008179019821482725,0.1646862406784058,0.007852928726185185,-0.007386726919986248,0.0,-0.001,0.0004662018061989369,-0.0005337981938010631,-0.008712818015283789,2
2014-01-31,2014-03-03,stress_aware_overlay,passive_brazil_equity,neutral,46.459999084472656,46.08000183105469,-0.008179019821482725,0.1646862406784058,0.0,0.0,0.0,0.0,0.0,0.0,-0.008179019821482725,0
2014-03-03,2014-04-01,covered_call,covered_call,neutral,46.08000183105469,49.04999923706055,0.06445306614558954,0.19420487474382542,0.01078082366587489,0.0,-0.03445306614558957,-0.0005,-0.02367224247971468,-0.02417224247971468,0.04028082366587486,1
2014-03-03,2014-04-01,collar,collar,neutral,46.08000183105469,49.04999923706055,0.06445306614558954,0.19420487474382542,0.01078082366587489,-0.010199447485495798,-0.03445306614558957,-0.001,-0.03387168996521048,-0.03487168996521048,0.029581376180379065,2
2014-03-03,2014-04-01,stress_aware_overlay,passive_brazil_equity,neutral,46.08000183105469,49.04999923706055,0.06445306614558954,0.19420487474382542,0.0,0.0,0.0,0.0,0.0,0.0,0.06445306614558954,0
2014-04-01,2014-04-30,covered_call,covered_call,neutral,49.04999923706055,50.290000915527344,0.025280360810482794,0.201119829393881,0.011487242368858215,0.0,-0.0,-0.0005,0.011487242368858215,0.010987242368858214,0.03626760317934101,1
2014-04-01,2014-04-30,collar,collar,neutral,49.04999923706055,50.290000915527344,0.025280360810482794,0.201119829393881,0.011487242368858215,-0.010879315104960624,0.0,-0.001,0.0006079272638975907,-0.0003920727361024093,0.024888288074380385,2
2014-04-01,2014-04-30,stress_aware_overlay,passive_brazil_equity,neutral,49.04999923706055,50.290000915527344,0.025280360810482794,0.201119829393881,0.0,0.0,0.0,0.0,0.0,0.0,0.025280360810482794,0
2014-04-30,2014-05-29,covered_call,covered_call,neutral,50.290000915527344,50.91999816894531,0.01252728657683222,0.2075221566581189,0.01214693066396479,0.0,-0.0,-0.0005,0.01214693066396479,0.01164693066396479,0.02417421724079701,1
2014-04-30,2014-05-29,collar,collar,neutral,50.290000915527344,50.91999816894531,0.01252728657683222,0.2075221566581189,0.01214693066396479,-0.01151454692962795,0.0,-0.001,0.0006323837343368399,-0.00036761626566316017,0.01215967031116906,2
2014-04-30,2014-05-29,stress_aware_overlay,passive_brazil_equity,neutral,50.290000915527344,50.91999816894531,0.01252728657683222,0.2075221566581189,0.0,0.0,0.0,0.0,0.0,0.0,0.01252728657683222,0
2014-05-29,2014-06-27,covered_call,covered_call,neutral,50.91999816894531,51.72999954223633,0.015907333118975187,0.19196874677979006,0.010553838461492184,0.0,-0.0,-0.0005,0.010553838461492184,0.010053838461492184,0.02596117158046737,1
2014-05-29,2014-06-27,collar,collar,neutral,50.91999816894531,51.72999954223633,0.015907333118975187,0.19196874677979006,0.010553838461492184,-0.009981080149345973,0.0,-0.001,0.0005727583121462113,-0.00042724168785378876,0.015480091431121397,2
2014-05-29,2014-06-27,stress_aware_overlay,passive_brazil_equity,neutral,50.91999816894531,51.72999954223633,0.015907333118975187,0.19196874677979006,0.0,0.0,0.0,0.0,0.0,0.0,0.015907333118975187,0
2014-06-27,2014-07-28,covered_call,covered_call,neutral,51.72999954223633,56.15999984741211,0.08563696780160979,0.18588634180520372,0.009940285632439615,0.0,-0.055636967801609816,-0.0005,-0.0456966821691702,-0.0461966821691702,0.039440285632439585,1
2014-06-27,2014-07-28,collar,collar,neutral,51.72999954223633,56.15999984741211,0.08563696780160979,0.18588634180520372,0.009940285632439615,-0.009391051307550732,-0.055636967801609816,-0.001,-0.05508773347672093,-0.056087733476720934,0.029549234324888853,2
2014-06-27,2014-07-28,stress_aware_overlay,passive_brazil_equity,neutral,51.72999954223633,56.15999984741211,0.08563696780160979,0.18588634180520372,0.0,0.0,0.0,0.0,0.0,0.0,0.08563696780160979,0
2014-07-28,2014-08-26,covered_call,covered_call,neutral,56.15999984741211,58.20000076293945,0.036324802725606675,0.1725419804581352,0.00861619987967198,0.0,-0.006324802725606577,-0.0005,0.0022913971540654042,0.0017913971540654042,0.03811619987967208,1
2014-07-28,2014-08-26,collar,collar,neutral,56.15999984741211,58.20000076293945,0.036324802725606675,0.1725419804581352,0.00861619987967198,-0.00811903041581006,-0.006324802725606577,-0.001,-0.005827633261744655,-0.006827633261744655,0.029497169463862022,2
2014-07-28,2014-08-26,stress_aware_overlay,passive_brazil_equity,neutral,56.15999984741211,58.20000076293945,0.036324802725606675,0.1725419804581352,0.0,0.0,0.0,0.0,0.0,0.0,0.036324802725606675,0
2014-08-26,2014-09-24,covered_call,covered_call,neutral,58.20000076293945,55.27000045776367,-0.05034364719530282,0.17762978496195567,0.009117210560879632,0.0,-0.0,-0.0005,0.009117210560879632,0.008617210560879631,-0.041726436634423186,1
2014-08-26,2014-09-24,collar,collar,neutral,58.20000076293945,55.27000045776367,-0.05034364719530282,0.17762978496195567,0.009117210560879632,-0.008600113293572015,0.02034364719530288,-0.001,0.0208607444626105,0.019860744462610498,-0.030482902732692323,2
2014-08-26,2014-09-24,stress_aware_overlay,passive_brazil_equity,neutral,58.20000076293945,55.27000045776367,-0.05034364719530282,0.17762978496195567,0.0,0.0,0.0,0.0,0.0,0.0,-0.05034364719530282,0
2014-09-24,2014-10-23,covered_call,covered_call,neutral,55.27000045776367,49.16999816894531,-0.11036732835708718,0.19060441276124027,0.010415713855928386,0.0,-0.0,-0.0005,0.010415713855928386,0.009915713855928385,-0.10045161450115879,1
2014-09-24,2014-10-23,collar,collar,neutral,55.27000045776367,49.16999816894531,-0.11036732835708718,0.19060441276124027,0.010415713855928386,-0.009848221505979145,0.08036732835708708,-0.001,0.08093482070703632,0.07993482070703632,-0.030432507650050858,2
2014-09-24,2014-10-23,stress_aware_overlay,passive_brazil_equity,neutral,55.27000045776367,49.16999816894531,-0.11036732835708718,0.19060441276124027,0.0,0.0,0.0,0.0,0.0,0.0,-0.11036732835708718,0
2014-10-23,2014-11-21,covered_call,covered_call,neutral,49.16999816894531,54.66999816894531,0.11185682743168535,0.3120170430070433,0.02340439928883205,0.0,-0.08185682743168538,-0.0005,-0.05845242814285333,-0.05895242814285333,0.05290439928883202,1
2014-10-23,2014-11-21,collar,collar,neutral,49.16999816894531,54.66999816894531,0.11185682743168535,0.3120170430070433,0.02340439928883205,-0.022384891545472685,-0.08185682743168538,-0.001,-0.08083731968832601,-0.08183731968832601,0.030019507743359333,2
2014-10-23,2014-11-21,stress_aware_overlay,passive_brazil_equity,neutral,49.16999816894531,54.66999816894531,0.11185682743168535,0.3120170430070433,0.0,0.0,0.0,0.0,0.0,0.0,0.11185682743168535,0
2014-11-21,2014-12-22,covered_call,covered_call,neutral,54.66999816894531,48.650001525878906,-0.1101151791602949,0.3618840823049633,0.028961868299403837,0.0,-0.0,-0.0005,0.028961868299403837,0.028461868299403836,-0.08165331086089106,1
2014-11-21,2014-12-22,collar,collar,neutral,54.66999816894531,48.650001525878906,-0.1101151791602949,0.3618840823049633,0.028961868299403837,-0.02776260446328116,0.0801151791602948,-0.001,0.08131444299641748,0.08031444299641748,-0.02980073616387742,2
2014-11-21,2014-12-22,stress_aware_overlay,passive_brazil_equity,neutral,54.66999816894531,48.650001525878906,-0.1101151791602949,0.3618840823049633,0.0,0.0,0.0,0.0,0.0,0.0,-0.1101151791602949,0
2014-12-22,2015-01-20,covered_call,covered_call,neutral,48.650001525878906,46.52000045776367,-0.04378213774530304,0.38361577955179993,0.03140419246811567,0.0,-0.0,-0.0005,0.03140419246811567,0.030904192468115668,-0.012877945277187372,1
2014-12-22,2015-01-20,collar,collar,neutral,48.650001525878906,46.52000045776367,-0.04378213774530304,0.38361577955179993,0.03140419246811567,-0.030127196658701127,0.013782137745303085,-0.001,0.015059133554717627,0.014059133554717627,-0.029723004190585413,2
2014-12-22,2015-01-20,stress_aware_overlay,passive_brazil_equity,neutral,48.650001525878906,46.52000045776367,-0.04378213774530304,0.38361577955179993,0.0,0.0,0.0,0.0,0.0,0.0,-0.04378213774530304,0
2015-01-20,2015-02-18,covered_call,covered_call,extreme_stress,46.52000045776367,49.90999984741211,0.07287186922378219,0.3110864038084965,0.02330144972577393,0.0,-0.042871869223782104,-0.0005,-0.019570419498008175,-0.020070419498008175,0.05280144972577402,1
2015-01-20,2015-02-18,collar,collar,extreme_stress,46.52000045776367,49.90999984741211,0.07287186922378219,0.3110864038084965,0.02330144972577393,-0.022285318680774255,-0.042871869223782104,-0.001,-0.04185573817878243,-0.04285573817878243,0.030016131044999762,2
2015-01-20,2015-02-18,stress_aware_overlay,collar,extreme_stress,46.52000045776367,49.90999984741211,0.07287186922378219,0.3110864038084965,0.02330144972577393,-0.022285318680774255,-0.042871869223782104,-0.001,-0.04185573817878243,-0.04285573817878243,0.030016131044999762,2
2015-02-18,2015-03-19,covered_call,covered_call,stress,49.90999984741211,49.54999923706055,-0.007212995621161622,0.2677039873344647,0.018544373654740494,0.0,-0.0,-0.0005,0.018544373654740494,0.018044373654740493,0.010831378033578871,1
2015-02-18,2015-03-19,collar,collar,stress,49.90999984741211,49.54999923706055,-0.007212995621161622,0.2677039873344647,0.018544373654740494,-0.01768680734943229,0.0,-0.001,0.0008575663053082029,-0.0001424336946917971,-0.007355429315853419,2
2015-02-18,2015-03-19,stress_aware_overlay,collar,stress,49.90999984741211,49.54999923706055,-0.007212995621161622,0.2677039873344647,0.018544373654740494,-0.01768680734943229,0.0,-0.001,0.0008575663053082029,-0.0001424336946917971,-0.007355429315853419,2
2015-03-19,2015-04-17,covered_call,covered_call,stress,49.54999923706055,52.45000076293945,0.05852677236188275,0.22703848059402956,0.014186824142670076,0.0,-0.028526772361882686,-0.0005,-0.01433994821921261,-0.01483994821921261,0.04368682414267014,1
2015-03-19,2015-04-17,collar,collar,stress,49.54999923706055,52.45000076293945,0.05852677236188275,0.22703848059402956,0.014186824142670076,-0.01348056227232145,-0.028526772361882686,-0.001,-0.02782051049153406,-0.02882051049153406,0.02970626187034869,2
2015-03-19,2015-04-17,stress_aware_overlay,collar,stress,49.54999923706055,52.45000076293945,0.05852677236188275,0.22703848059402956,0.014186824142670076,-0.01348056227232145,-0.028526772361882686,-0.001,-0.02782051049153406,-0.02882051049153406,0.02970626187034869,2
2015-04-17,2015-05-18,covered_call,covered_call,stress,52.45000076293945,54.4900016784668,0.038894201827520014,0.20935348322141686,0.012336559058265492,0.0,-0.008894201827519986,-0.0005,0.003442357230745506,0.002942357230745506,0.04183655905826552,1
2015-04-17,2015-05-18,collar,collar,stress,52.45000076293945,54.4900016784668,0.038894201827520014,0.20935348322141686,0.012336559058265492,-0.011697201018141848,-0.008894201827519986,-0.001,-0.008254843787396342,-0.009254843787396341,0.029639358040123673,2
2015-04-17,2015-05-18,stress_aware_overlay,collar,stress,52.45000076293945,54.4900016784668,0.038894201827520014,0.20935348322141686,0.012336559058265492,-0.011697201018141848,-0.008894201827519986,-0.001,-0.008254843787396342,-0.009254843787396341,0.029639358040123673,2
2015-05-18,2015-06-16,covered_call,covered_call,fragile,54.4900016784668,52.18000030517578,-0.04239312354809255,0.19267089749163005,0.010625032921003323,0.0,-0.0,-0.0005,0.010625032921003323,0.010125032921003323,-0.03226809062708923,1
2015-05-18,2015-06-16,collar,collar,fragile,54.4900016784668,52.18000030517578,-0.04239312354809255,0.19267089749163005,0.010625032921003323,-0.010049566847670404,0.012393123548092555,-0.001,0.012968589621425474,0.011968589621425475,-0.030424533926667073,2
2015-05-18,2015-06-16,stress_aware_overlay,covered_call,fragile,54.4900016784668,52.18000030517578,-0.04239312354809255,0.19267089749163005,0.010625032921003323,0.0,-0.0,-0.0005,0.010625032921003323,0.010125032921003323,-0.03226809062708923,1
2015-06-16,2015-07-15,covered_call,covered_call,stress,52.18000030517578,51.36000061035156,-0.015714827329023295,0.18659791741065745,0.010011762295976794,0.0,-0.0,-0.0005,0.010011762295976794,0.009511762295976793,-0.006203065033046502,1
2015-06-16,2015-07-15,collar,collar,stress,52.18000030517578,51.36000061035156,-0.015714827329023295,0.18659791741065745,0.010011762295976794,-0.009459769505909592,0.0,-0.001,0.000551992790067202,-0.000448007209932798,-0.016162834538956092,2
2015-06-16,2015-07-15,stress_aware_overlay,collar,stress,52.18000030517578,51.36000061035156,-0.015714827329023295,0.18659791741065745,0.010011762295976794,-0.009459769505909592,0.0,-0.001,0.000551992790067202,-0.000448007209932798,-0.016162834538956092,2
2015-07-15,2015-08-13,covered_call,covered_call,stress,51.36000061035156,46.5099983215332,-0.09443150761647079,0.17426641811772164,0.008785450964093354,0.0,-0.0,-0.0005,0.008785450964093354,0.008285450964093354,-0.08614605665237743,1
2015-07-15,2015-08-13,collar,collar,stress,51.36000061035156,46.5099983215332,-0.09443150761647079,0.17426641811772164,0.008785450964093354,-0.008281516248191689,0.06443150761647079,-0.001,0.06493544233237246,0.06393544233237246,-0.03049606528409833,2
2015-07-15,2015-08-13,stress_aware_overlay,collar,stress,51.36000061035156,46.5099983215332,-0.09443150761647079,0.17426641811772164,0.008785450964093354,-0.008281516248191689,0.06443150761647079,-0.001,0.06493544233237246,0.06393544233237246,-0.03049606528409833,2
2015-08-13,2015-09-11,covered_call,covered_call,extreme_stress,46.5099983215332,44.880001068115234,-0.035046168829107716,0.1827141503077881,0.009622663208778422,0.0,-0.0,-0.0005,0.009622663208778422,0.009122663208778421,-0.025923505620329294,1
2015-08-13,2015-09-11,collar,collar,extreme_stress,46.5099983215332,44.880001068115234,-0.035046168829107716,0.1827141503077881,0.009622663208778422,-0.009085747362673745,0.005046168829107726,-0.001,0.005583084675212403,0.004583084675212403,-0.030463084153895315,2
2015-08-13,2015-09-11,stress_aware_overlay,collar,extreme_stress,46.5099983215332,44.880001068115234,-0.035046168829107716,0.1827141503077881,0.009622663208778422,-0.009085747362673745,0.005046168829107726,-0.001,0.005583084675212403,0.004583084675212403,-0.030463084153895315,2
2015-09-11,2015-10-12,covered_call,covered_call,extreme_stress,44.880001068115234,47.790000915527344,0.06483956724946482,0.22376400143046957,0.013841810711450162,0.0,-0.03483956724946483,-0.0005,-0.02099775653801467,-0.02149775653801467,0.04334181071145016,1
2015-09-11,2015-10-12,collar,collar,extreme_stress,44.880001068115234,47.790000915527344,0.06483956724946482,0.22376400143046957,0.013841810711450162,-0.013147878624475726,-0.03483956724946483,-0.001,-0.0341456351624904,-0.0351456351624904,0.029693932086974427,2
2015-09-11,2015-10-12,stress_aware_overlay,collar,extreme_stress,44.880001068115234,47.790000915527344,0.06483956724946482,0.22376400143046957,0.013841810711450162,-0.013147878624475726,-0.03483956724946483,-0.001,-0.0341456351624904,-0.0351456351624904,0.029693932086974427,2
2015-10-12,2015-11-10,covered_call,covered_call,extreme_stress,47.790000915527344,44.93000030517578,-0.0598451675154148,0.26262656680405844,0.017993971230326644,0.0,-0.0,-0.0005,0.017993971230326644,0.017493971230326644,-0.042351196285088155,1
2015-10-12,2015-11-10,collar,collar,extreme_stress,47.790000915527344,44.93000030517578,-0.0598451675154148,0.26262656680405844,0.017993971230326644,-0.01715513423375489,0.02984516751541489,-0.001,0.030684004511986645,0.029684004511986644,-0.030161163003428155,2
2015-10-12,2015-11-10,stress_aware_overlay,collar,extreme_stress,47.790000915527344,44.93000030517578,-0.0598451675154148,0.26262656680405844,0.017993971230326644,-0.01715513423375489,0.02984516751541489,-0.001,0.030684004511986645,0.029684004511986644,-0.030161163003428155,2
2015-11-10,2015-12-09,covered_call,covered_call,extreme_stress,44.93000030517578,44.650001525878906,-0.006231889102939037,0.27817502577414327,0.019684146744833434,0.0,-0.0,-0.0005,0.019684146744833434,0.019184146744833434,0.012952257641894397,1
2015-11-10,2015-12-09,collar,collar,extreme_stress,44.93000030517578,44.650001525878906,-0.006231889102939037,0.27817502577414327,0.019684146744833434,-0.01878807976486199,0.0,-0.001,0.0008960669799714452,-0.00010393302002855483,-0.0063358221229675915,2
