Date,brazil_drawdown_pressure_weighted,brazil_vol_pressure_weighted,external_brazil_pressure_weighted,global_equity_pressure_weighted,fx_pressure_weighted,vix_pressure_weighted,bsti_raw_score,bsti_0_100,bsti_regime,stress_breadth,active_pressure_channels,dominant_pressure_channel,dominant_pressure_value,brazil_drawdown_pressure,brazil_vol_pressure,external_brazil_pressure,global_equity_pressure,fx_pressure,vix_pressure
2014-02-12,0.06999260541317907,0.0,0.3047054710693854,0.0,0.0,0.0,0.3746980764825645,12.48993588275215,calm,0.16666666666666666,1,external_brazil_pressure,1.5235273553469268,0.3499630270658953,,1.5235273553469268,0.0,0.0,0.0
2014-02-13,0.09956643751363731,0.20299787206721895,0.0,0.0,0.12117597975301711,0.0,0.4237402893338733,14.124676311129111,calm,0.3333333333333333,2,brazil_vol_pressure,1.353319147114793,0.4978321875681865,1.353319147114793,0.0,0.0,0.8078398650201141,0.0
2014-02-14,0.06315540956725743,0.19638675567940958,0.009383954931417547,0.0,0.0,0.0,0.26892612017808454,8.964204005936152,calm,0.16666666666666666,1,brazil_vol_pressure,1.3092450378627305,0.31577704783628713,1.3092450378627305,0.04691977465708773,0.0,0.0,0.0
2014-02-17,0.16146337203701044,0.1956993798275179,0.0,0.0038963730048424796,0.0,0.0,0.3610591248693708,12.03530416231236,calm,0.3333333333333333,2,brazil_vol_pressure,1.3046625321834526,0.8073168601850522,1.3046625321834526,0.0,0.025975820032283197,0.0,0.0
2014-02-18,0.3079377393848988,0.23859611551122217,0.4670036393536762,0.0,0.0,0.034774658514046666,1.048312152763844,34.94373842546146,stress,0.5,3,external_brazil_pressure,2.335018196768381,1.539688696924494,1.5906407700748146,2.335018196768381,0.0,0.0,0.2318310567603111
2014-02-19,0.24404953757882747,0.23602029885110543,0.0,0.1188877541280578,0.031071114225738238,0.19534078383846318,0.8253694886221922,27.512316287406406,fragile,0.6666666666666666,4,brazil_vol_pressure,1.5734686590073697,1.2202476878941373,1.5734686590073697,0.0,0.7925850275203854,0.20714076150492158,1.3022718922564211
2014-02-20,0.17750984243747886,0.1773224474467672,0.0,0.0,0.017926952947313297,0.0,0.37275924283155937,12.425308094385311,calm,0.3333333333333333,2,brazil_vol_pressure,1.1821496496451147,0.8875492121873942,1.1821496496451147,0.0,0.0,0.11951301964875531,0.0
2014-02-21,0.15489232040722012,0.10506768612345772,0.0,0.024055469576029814,0.0,0.0,0.2840154761067077,9.467182536890256,calm,0.16666666666666666,1,brazil_drawdown_pressure,0.7744616020361006,0.7744616020361006,0.7004512408230515,0.0,0.16036979717353209,0.0,0.0
2014-02-24,0.1898046843523358,0.07531416500283031,0.0720718949303628,0.0,0.0,0.0,0.3371907442855289,11.239691476184298,calm,0.16666666666666666,1,brazil_drawdown_pressure,0.949023421761679,0.949023421761679,0.502094433352202,0.360359474651814,0.0,0.0,0.0
2014-02-25,0.25562677469723427,0.09031209247433535,0.11353303614492771,0.01275704949362125,0.0,0.0,0.4722289528101186,15.740965093670619,fragile,0.16666666666666666,1,brazil_drawdown_pressure,1.2781338734861714,1.2781338734861714,0.602080616495569,0.5676651807246386,0.08504699662414167,0.0,0.0
2014-02-26,0.2719762113670219,0.08792990372549957,0.0,0.0046355842985661535,0.027312952672801375,0.08596080638187753,0.4778154584457665,15.927181948192217,fragile,0.16666666666666666,1,brazil_drawdown_pressure,1.3598810568351094,1.3598810568351094,0.5861993581699971,0.0,0.030903895323774355,0.18208635115200916,0.5730720425458502
2014-02-27,0.08587438547612997,0.2009948366811983,0.0,0.0,0.08851986505281861,0.0,0.37538908721014685,12.512969573671562,calm,0.16666666666666666,1,brazil_vol_pressure,1.3399655778746553,0.4293719273806498,1.3399655778746553,0.0,0.0,0.5901324336854574,0.0
2014-02-28,0.15709806133653426,0.20768309887702316,0.272990062570484,0.0,0.0,0.0,0.6377712227840415,21.25904075946805,fragile,0.5,3,brazil_vol_pressure,1.3845539925134878,0.7854903066826713,1.3845539925134878,1.36495031285242,0.0,0.0,0.0
2014-03-03,0.15410686211096075,0.18640547290457432,0.278224513720844,0.14117273623731566,0.13842843263223426,0.2531410898653531,1.1514791074712822,38.382636915709405,stress,1.0,6,vix_pressure,1.6876072657690206,0.7705343105548037,1.2427031526971621,1.39112256860422,0.9411515749154378,0.9228562175482284,1.6876072657690206
2014-03-04,0.15128144209077968,0.010815476889850005,0.0,0.0,0.07466143843980604,0.0,0.23675835742043572,7.8919452473478575,calm,0.16666666666666666,1,brazil_drawdown_pressure,0.7564072104538984,0.7564072104538984,0.0721031792656667,0.0,0.0,0.49774292293204025,0.0
2014-03-05,0.24815639000059023,0.0038157913006209815,0.0,0.0,0.0,0.0,0.2519721813012112,8.399072710040373,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.240781950002951,1.240781950002951,0.025438608670806544,0.0,0.0,0.0,0.0
2014-03-06,0.17753351780566415,0.014373764754589933,0.0,0.0,0.0,0.037344171175216274,0.22925145373547035,7.641715124515678,calm,0.16666666666666666,1,brazil_drawdown_pressure,0.8876675890283207,0.8876675890283207,0.0958250983639329,0.0,0.0,0.0,0.2489611411681085
2014-03-07,0.29755848356299547,0.0,0.36158249129659237,0.004470974600140345,0.032842220927899624,0.0,0.6964541703876277,23.215139012920925,fragile,0.3333333333333333,2,external_brazil_pressure,1.8079124564829616,1.4877924178149773,0.0,1.8079124564829616,0.029806497334268968,0.21894813951933081,0.0
2014-03-10,0.3933169067045825,0.0,0.2367398891224872,0.022826759268755804,0.15219596312574288,0.006772061413677645,0.8118515796352461,27.06171932117487,fragile,0.5,3,brazil_drawdown_pressure,1.9665845335229126,1.9665845335229126,0.0,1.183699445612436,0.1521783951250387,1.0146397541716192,0.045147076091184304
2014-03-11,0.34172304199370673,0.0,0.0,0.10788217040740054,0.07463831813033164,0.07400533197476551,0.5982488625062045,19.941628750206817,fragile,0.16666666666666666,1,brazil_drawdown_pressure,1.7086152099685334,1.7086152099685334,0.0,0.0,0.7192144693826703,0.4975887875355443,0.4933688798317701
2014-03-12,0.2998802636596702,0.0,0.0,0.004820664455560147,0.15277468905899277,0.0,0.4574756171742231,15.249187239140769,fragile,0.3333333333333333,2,brazil_drawdown_pressure,1.4994013182983508,1.4994013182983508,0.0,0.0,0.03213776303706765,1.018497927059952,0.0
2014-03-13,0.3400348698591935,0.0,0.0,0.22633480457563562,0.0,0.22056316536160692,0.786932839796436,26.231094659881197,fragile,0.5,3,brazil_drawdown_pressure,1.7001743492959676,1.7001743492959676,0.0,0.0,1.5088986971709042,0.0,1.4704211024107128
2014-03-14,0.39927187263669595,0.0,0.0,0.060036660542489254,0.08320802606232686,0.17382696418099866,0.7163435234225106,23.878117447417022,fragile,0.3333333333333333,2,brazil_drawdown_pressure,1.9963593631834795,1.9963593631834795,0.0,0.0,0.400244403616595,0.5547201737488457,1.1588464278733244
2014-03-17,0.3560413293674449,0.0,0.0,0.0,0.0,0.0,0.3560413293674449,11.868044312248164,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.7802066468372244,1.7802066468372244,0.0,0.0,0.0,0.0,0.0
2014-03-18,0.21922397795029502,0.04913200206353703,0.0,0.0,0.05559328167207053,0.0,0.32394926168590255,10.79830872286342,calm,0.16666666666666666,1,brazil_drawdown_pressure,1.096119889751475,1.096119889751475,0.3275466804235802,0.0,0.0,0.37062187781380357,0.0
2014-03-19,0.16232469493982038,0.0,0.0,0.11420268108063401,0.0,0.07037270267812125,0.34690007869857564,11.563335956619188,calm,0.3333333333333333,2,brazil_drawdown_pressure,0.8116234746991019,0.8116234746991019,0.0,0.0,0.7613512072042268,0.0,0.46915135118747503
2014-03-20,0.07834480301138488,0.0,0.0,0.0,0.14904214395556536,0.0,0.22738694696695025,7.579564898898342,calm,0.16666666666666666,1,fx_pressure,0.9936142930371025,0.3917240150569244,0.0,0.0,0.0,0.9936142930371025,0.0
2014-03-21,0.03678557185834241,0.0,0.0,0.08663106720435329,0.0,0.05606457591561836,0.17948121497831407,5.982707165943802,calm,0.0,0,global_equity_pressure,0.5775404480290219,0.18392785929171201,0.0,0.0,0.5775404480290219,0.0,0.3737638394374557
2014-03-24,0.0,0.038783617866047344,0.0,0.09070248086169153,0.0,0.004184007806052584,0.13367010653379144,4.455670217793048,calm,0.0,0,global_equity_pressure,0.6046832057446102,0.0,0.25855745244031564,0.0,0.6046832057446102,0.0,0.027893385373683893
